country,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
United Kingdom,,,,,,,24,0,0,0,0,0,1500,439,0,227,42,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,73,0,11,26,0,14,10,0,54,14,0,91,0,33,32,19,0,0,24,4160,0,0,140,0,90,10,0,0,0,18,0,0,0,140,50,53,0,0,95,149,58,29,76,0,6,12,0,18,12,0,5,74,248,58,63,230,215,83,61,11,4,100,31,5,46,40,42,16,24,26,301,21,11,0,27,8,24,0,0,8,783,5,14,0,80,0,6,2560,1,
Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,8,222,41,24,1,22,7,0,39,82,0,6,0,1,0,0,0,0,0,0,7,5,0,0,40,0,11,0,0,17,0,
Ghana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,170,4,0,0,15,7,60,109,0,30,0,145,411,26,67,136,13,187,128,0,24,98,162,104,25,78,142,155,86,40,249,260,71,42,34,108,97,9,17
Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,275,0,0,0,18,0,17,0,0,356,0,311,100,0,0,12,32,264,137,58,24,133,82,172,206,27,15,27,56,215,25,2630,38,15,0,18,27,0,21,
Gambia,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,120,0,53,21,1,9,3,2,0,0,32,10,5,9,0,0,2,0,0,0,6,0,4,0,10,
Guinea-Bissau,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,0,0,0,0,0,0,195,14,961,781,203,404,0,0,0,0,6,411,0,29,221,73,23,0,29,0,21,11,0,0,32,0,0,14,
Equatorial Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,15,80,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,107,
Greece,,,,,4,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,103,0,22,0,151,0,0,0,0,0,0,0,0,0,0,0,16,0,0,3,2,0,0,0,0,476,56,8,53,0,0,0,0,43,0,0,0,70,2,9,19,0,0,0,31,0,0,0,0,27,50,22,1,45,0,12,0,23,20,1050,56,34,4,71,0,1,24,52,20,84,17,157,137,11,41,37,54,121,4,130,2,12,1,43,33,12,86,88,467,42,116,7,22,29,
Grenada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,,,,,,,,,,,,
Guatemala,,,9000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2650,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40k,0,0,0,0,0,0,0,0,0,0,225,0,0,0,0,0,0,0,2,273,0,0,0,5,0,0,23k,0,0,0,0,0,620,0,0,0,94,84,5,93,257,238,206,0,10,31,98,36,452,105,89,122,134,22,36,1580,81,11,138,36,246,97,44,52,6,358,10,60,463,61,167,2,
Guyana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,900,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Hong Kong, China",,,,,,,10k,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,11k,0,0,0,0,0,0,0,0,0,2000,135,0,0,0,0,0,0,0,0,8,0,43,60,7,183,0,70,5,144,0,22,0,0,115,238,1,1,3,38,1,11,13,2,0,31,23,0,2,5,10,0,12,130,22,7,29,1,18,57,81,0,5,0,0,299,25,0,0,0,0,35,0,1,0,39,0,12,0,0,0,19,0,0,2,
Honduras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1500,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,275,0,0,0,7,0,0,0,0,0,37,0,2800,8000,0,20,0,0,1,0,0,130,0,0,21,50,0,19,151,38,0,0,413,151,37,8,0,14.6k,34,22,21,19,96,115,61,4,7,90,14,211,47,379,27,18,0,7,21,6,155,132,0,
Croatia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61,0,0,0,35,0,0,0,41,0,11,788,0,7,0,12,14,0,0,0,7,0,3,0,0,0,0,1,9,10,
Haiti,,,,,,,,,,150,0,0,0,0,0,1600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,672,0,0,0,0,50,0,0,26,5500,100,0,480,0,0,0,0,0,78,0,0,0,0,0,0,8,220,0,0,0,0,0,349,33,81,0,0,0,103,1810,1150,47,245,480,246,26,43,71,45,182,5420,88,16,178,843,88,230k,51,207,28,87,216,599,126,17,24,54,2650,
Hungary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,16,0,31,0,11,0,0,48,1,81,19,40,0,52,47,500,17,0,10,14,16,0,0,0,0,0,179,25,,,
Indonesia,,,,,,,,,,40,0,0,0,138,20,0,0,15k,0,5000,0,0,0,0,787,0,0,50,128,0,1370,1300,6,0,0,0,26,0,0,0,0,0,13,213,0,0,0,0,0,0,16,1300,0,114,37,405,300,0,8,0,0,0,0,1690,0,71,9260,499,252,64,132,1,72,1700,10,0,1350,327,226,1090,253,1440,654,265,388,52,510,783,475,486,522,781,2910,372,678,278,845,1790,1640,1050,1250,1220,526,777,167k,1660,8200,1390,206,2030,1370,536,295,265,551,388,366,206,5770,596,220,668,0
India,1.25M,0,0,0,0,20k,0,1.3M,20,0,39,0,0,0,0,0,300,0,0,0,2.5M,0,0,0,301k,80,423k,685,36,0,0,0,0,0,0,60.1k,438,107,0,0,0,0,1.54M,5020,318,0,0,625,500,1000,1740,0,750,491,30,2120,318,187,912,621,237,3460,173,512,732,1.5M,80,4610,7460,815,1050,11k,230,309,280,1290,323,14.8k,8080,3210,3950,1940,2210,1780,9290,4370,2070,2670,8900,2930,4080,3790,2090,12k,3490,4200,4490,4050,10.7k,12.8k,3450,21.5k,3880,3020,18.4k,6280,2000,2720,2520,2520,2060,1500,1030,7660,1470,3680,1730,2930,1710,2670,2440,2120,12
Ireland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,46,0,10,0,329,11,0,0,0,2,0,0,3,29,0,2,0,2,8,3,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,0,0,2,0,0,,
Iran,,,,350,0,0,0,0,0,5000,0,700,0,0,0,0,0,0,0,0,0,0,0,2650,0,500,0,0,0,3250,1360,0,1070,0,0,750,12,0,0,0,0,730,0,0,20,20,0,400,200,0,72,225,0,1870,2000,0,1350,5670,191,0,480,60,12k,0,0,308,42,0,10.8k,70,253,0,5120,0,0,14,16,1110,25.4k,565,524,3510,0,33,0,1,369,867,381,100,40.1k,104,134,963,251,30,58,2900,269,291,199,730,670,27.3k,682,1090,258,91,230,234,82,140,391,128,77,107,95,589,128,139,52,40,6
Iraq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,459,0,0,0,0,0,1,0,59,0,0,0,0,0,0,0,26,750,0,20,0,0,25,73,0,0,0,0,15,0,0,22,63,1230,106,70,31,13,61,6,4,11,0,58,11,30,21,110,8,128,
Iceland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,12,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
Israel,,,,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,40,5,23,0,0,0,0,88,0,0,15,15,0,0,0,7,0,0,24,0,46,0,0,4,0,0,0,0,12,0,7,,
Italy,,,,,,557,700,0,75k,0,0,0,0,0,120,30k,0,0,0,0,1400,0,100,0,0,0,0,0,0,0,1900,0,0,10,0,12,0,0,54,10,0,0,0,0,547,0,0,0,105,0,0,163,0,100,297,29,0,0,0,0,12,0,16,1920,0,92,70,0,296,0,72,22,3,38,0,12,987,23,49,14,4790,12,0,82,33,375,21,127,32,25,77,140,14,34,99,49,28,127,221,63,59,139,121,20.2k,28,61,18,48,9,364,14,272,136,487,178,596,324,84,78,28,19,86,
Jamaica,330,0,0,65,0,0,0,1200,0,53,0,0,142,0,0,0,0,57,0,0,0,0,0,4,0,0,0,0,0,0,0,0,16,63,0,0,0,151,0,0,125,0,0,0,32,0,0,0,0,0,0,154,0,0,0,0,0,175,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,6,0,17,0,0,0,44,193,0,0,0,0,7,54,9,49,0,0,15,0,9,4,0,0,0,0,0,0,1,13,0,16,6,4,5,13,0,15,0,1,0,0,0,0,0,,,,,
Jordan,,,,,,,,,,,,,,,,,,,,,,,,,,,,268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,8,259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,9,0,0,0,10,15,0,32,0,0,2,0,0,23,52,5,22,12,0,10,0,21,0,0,0,0,17,0,0,14,0,34,,,,
Japan,30,18,125,0,0,52,0,0,0,41,1380,12,2000,0,234,0,0,4000,0,0,40,0,27,150k,0,395,144,3020,0,0,259,0,0,3000,4510,0,0,0,943,27,0,18,0,2390,1220,6500,2000,3930,6000,617,1080,1250,238,4250,3430,443,130,1100,1950,5310,179,663,234,295,758,289,422,779,171,100,73,297,703,128,364,98,169,41,88,94,88,203,697,465,34,569,88,10,78,80,67,223,21,467,274,5310,51,28,57,101,46,118,7,46,271,243,72,87,108,105,202,20k,186,430,301,71,116,62,446,288,97,96,
Kazakhstan,,,,,,,,,,,,450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,80,140,0,0,21,0,0,3,0,3,71,0,41,0,31,65,44,2,43,21,5,18,0,0,52,25,0,0,
Kenya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,59,0,0,100,0,0,0,0,77,0,0,0,0,26,77,98,54,320,146,449,1310,0,0,1350,172,1970,404,184,101,74,309,248,522,106,127,561,261,206,101,223,72,139,124,185,227,213,298,55,
Kyrgyz Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58,0,162,12,0,22,112,0,11,20,0,78,68,3,4,0,139,0,0,0,16,0,0,0,0,63,0,0,0,15,
Cambodia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,50,0,537,0,83,92,490,63,347,56,29,0,7,29,5,206,0,46,366,247,14,200,45,0,0,0,0,50,38,1,
Kiribati,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,,,,
St. Kitts and Nevis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
South Korea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,249,56,0,103,485,0,494,0,249,290,116,210,323,117,0,18,630,67,267,797,0,88,0,25,371,27,115,165,178,68,0,251,70,58,809,65,140,214,308,5,293,115,667,145,29,530,145,90,81,385,563,24,53,61,37,50,17,68,143,27,0,390,41,15,44,37,33,119,,
Kuwait,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,16,,,,
Lao,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300,0,2,0,0,14,0,0,0,0,0,0,31,0,0,0,0,0,14,0,0,63,0,0,0,0,175,8,500,60,30,0,40,0,87,0,2,0,2,0,0,0,6,26,0,48,0,149,0,27,5,0,136,19,2,0,
Lebanon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,440,136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,45,0,25,0,0,0,0,0,0,0,10,0,0,38,0,0,0,1,0,44,90,0,0,0,0,5,0,0,15,3,206,32,
Liberia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,466,0,46,0,0,0,0,0,0,0,0,0,0,0,0,9,56,0,22,39,13,0,60,0,0,29,0,1,0,2,12,0,0,10,4810,0,0,0,0,28,50,16,
Libya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,78,0,0,182,0,0,0,70,0,0,0,23,0,81,0,27,0,0,0,140,221,104,100,55,41,389,1790,1360,470,425,211,166,135,
St. Lucia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,14,0,0,6,0,0,0,0,0,0,3,1,
Sri Lanka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200,0,0,0,0,0,0,206,0,23,26,0,62,0,0,0,0,218,0,0,27,750,0,0,7,54,3,51,0,104,77,0,377,58,47,15,133,0,123,20,211,58,7,52,13,25,235,35.5k,39,25,55,57,349,60,254,53,117,336,10,203,689,34,58,10,35,
Lesotho,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,22,0,0,0,0,0,0,0,0,28,28,1,0,0,0,0,0,40,0,0,0,26,0,0,0,0,0,0,0,0,0,0,
Lithuania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,6,0,0,0,0,10,34,0,20,0,0,0,0,0,25,0,0,9,0,30,0,0,0,0,0,5,,,,
Luxembourg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Latvia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,0,21,0,15,0,40,0,0,0,0,0,0,10,54,0,0,0,0,0,,,,
Morocco,,,,,,,,,,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131,0,0,30,0,0,0,65,0,12k,0,0,169,76,75,200,0,0,11,11,0,0,106,0,178,0,0,0,16,0,0,1,0,0,0,0,0,31,0,0,44,30,15,81,808,64,111,101,136,97,26,208,65,716,67,153,65,148,29,88,106,80,39,83,34,0,37,11,115,26,24,43
Moldova,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,0,0,9,0,0,2,0,1,0,0,13,0,0,3,0,1,0,21,0,0,0,0,0,0,0,,,
Madagascar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,29,81,70,0,91,0,0,7,16,10,70,0,0,107,92,42,121,0,99,0,200,46,0,72,0,0,212,34,9,174,0,981,153,47,694,150,409,107,4,91,125,27,120,46,112,178,17,121,41,369,94,17,44,87,58
Maldives,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,133,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,
Mexico,,,,,,,,,,250,0,45,0,0,0,0,0,0,0,0,648,0,0,0,0,0,0,0,0,60,0,0,400,0,0,0,14,34,0,0,0,0,0,0,0,0,0,0,0,1000,0,50,140,0,100,1100,0,160,0,2990,0,436,50,0,45,27,14,111,73,76,35,17,249,686,13,52,735,10,183,5,171,132,489,408,456,9510,207,153,523,247,536,283,283,157,36,375,96,578,881,979,324,45,268,88,52,120,199,210,151,121,294,153,124,337,22,161,197,576,79,212,82,188,
North Macedonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,198,0,0,0,0,0,0,0,25,0,2,15,1,0,1,0,15,0,0,1,1,0,21,22,3,0,13,0,15,
Mali,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,513,0,0,0,0,0,0,0,0,0,30,0,412,0,0,1020,51,0,202,64,1,0,52,27,0,0,0,345,1100,3,2,87,2,58,106,57,56,82,18,0,35,43,104,0,122,122,15,13,0,46,79,22,23,
Malta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,0,0,0,0,283,0,0,0,0,0,0,0,16,26,28,32,10,0,0,0,0,27,,,,,,,,,
Myanmar,,,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,2700,0,0,0,586,0,0,0,0,0,1000,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,134,0,278,1070,11,90,0,5,0,0,200,0,3,0,0,0,13,301,10,0,0,26,447,135,87,200,98,5,137,144,52,0,103,58,22,0,67,21,0,337,17,59,86,138k,74,149,240,40,221,0,404,237,200,67,182,174,12,
Montenegro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,1,13,0,0,0,0,,,,,
Mongolia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1200,0,0,0,0,0,0,0,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,6,0,47,5,41,74,0,28,0,23,26,3,15,0,0,0,14,52,31,0,0,0,0,0,0,0,17,0,12,10,12,
Mozambique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500,0,0,0,1,0,462,44,0,10,100k,0,189,109,66,77,50,100,99,694,109,587,102,240,0,51,672,296,23,875,105,235,217,11,16,47,288,238,229,133,87,33,121,65,229,168,29,51,704,37,11,25
Mauritania,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,35,38,0,23,4,0,0,80,0,46,0,45,1,13,11,25,9,0,98,26,59,0,1,13,22,10,18,0,14,0,18,11,63,92,50,
Mauritius,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,0,0,0,0,0,0,0,0,0,0,0,2,0,0,9,0,0,0,5,0,0,0,1,0,0,0,159,0,1,0,0,0,0,2,0,3,0,0,0,0,0,3,0,0,0,0,2,0,0,0,11,0,11,0,0,0,0,0,,,,
Malawi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,0,472,0,0,0,1,0,10,21,0,134,1210,758,12,27,61,28,28,137,88,0,4,51,3,11,283,12,24,5,68,1,13,53
Malaysia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,0,50,23,0,61,0,0,0,0,0,0,0,0,0,3,0,0,10,200,0,11,3,57,48,0,439,0,179,72,52,344,136,143,1,84,25,14,8,97,13,6,102,0,0,26,18,0,104,314,86,46,84,2,2,0,109,
Namibia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,100,0,0,20,0,0,0,0,0,0,0,0,14,134,19,2,0,0,15,14,51,92,8,108,0,50,0,0,0,0,0,0,0,0,
Niger,,,,0,0,0,0,0,0,0,85k,0,0,0,0,0,0,0,0,0,0,0,0,100k,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,319,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,20,356,0,2840,0,0,60,3020,882,275,30,63,192,624,320,202,168,44,86,7,214,172,108,64,188,44,201,33,84,216,114,170,83,258,
Nigeria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000,0,0,21,176,0,0,0,0,100,24,0,0,0,148,100,0,1250,600,245,339,269,7830,601,170,90,46,5910,280,1450,1060,1690,1520,2190,900,626,1560,940,814,404,1990,2250,1030,774,421,994,347,1560,142,502,364,414,3890,
